,index,variable,value
0,price,price,1.0
1,year,price,0.4565417016914561
2,odometer,price,-0.5134141621691941
3,lat,price,0.03211944335365483
4,long,price,-0.14025668440694597
5,price,year,0.4565417016914561
6,year,year,1.0
7,odometer,year,-0.4115790911004604
8,lat,year,-0.0035544379161130484
9,long,year,-0.009677297103211913
10,price,odometer,-0.5134141621691941
11,year,odometer,-0.4115790911004604
12,odometer,odometer,1.0
13,lat,odometer,0.028652321018184292
14,long,odometer,0.042881763274721124
15,price,lat,0.03211944335365483
16,year,lat,-0.0035544379161130484
17,odometer,lat,0.028652321018184292
18,lat,lat,1.0
19,long,lat,-0.17050450650773996
20,price,long,-0.14025668440694597
21,year,long,-0.009677297103211913
22,odometer,long,0.042881763274721124
23,lat,long,-0.17050450650773996
24,long,long,1.0
